Date,Location,Latitude,Longitude,SST (°C),pH Level,Bleaching Severity,Species Observed,Marine Heatwave,Year,Month
1/1/2015,Red Sea,20.0248,38.4931,29.47,8.107,0,106,FALSE,2015,1
1/7/2015,Great Barrier Reef,-18.2988,147.7782,29.65,8.004,3,116,FALSE,2015,1
1/14/2015,Caribbean Sea,14.9768,-75.0233,28.86,7.947,3,90,FALSE,2015,1
1/20/2015,Great Barrier Reef,-18.3152,147.6486,28.97,7.995,2,94,FALSE,2015,1
1/27/2015,Galápagos,-0.8805,-90.9769,28.60,7.977,0,110,FALSE,2015,1
2/2/2015,Red Sea,20.0055,38.4425,29.06,8.009,1,109,FALSE,2015,2
2/9/2015,South China Sea,9.9699,115.0926,28.48,7.998,0,132,FALSE,2015,2
2/16/2015,Red Sea,19.9390,38.5104,25.56,8.042,1,152,FALSE,2015,2
2/22/2015,Maldives,3.2397,73.2293,28.33,8.038,1,99,FALSE,2015,2
3/1/2015,Caribbean Sea,14.9640,-75.0230,30.09,8.035,3,77,TRUE,2015,3
3/7/2015,Galápagos,-0.9376,-90.9849,27.48,8.101,0,145,FALSE,2015,3
3/14/2015,Caribbean Sea,15.0466,-75.0420,28.04,8.076,3,139,FALSE,2015,3
3/21/2015,Galápagos,-0.9778,-90.9749,26.84,8.023,0,148,FALSE,2015,3
3/27/2015,South China Sea,10.0678,114.9964,30.01,8.038,3,95,TRUE,2015,3
4/3/2015,Red Sea,20.0181,38.5769,28.45,8.129,3,81,FALSE,2015,4
4/9/2015,South China Sea,10.0411,115.0044,28.05,8.064,2,94,FALSE,2015,4
4/16/2015,Caribbean Sea,14.9890,-74.9821,30.72,7.980,3,85,TRUE,2015,4
4/22/2015,Caribbean Sea,14.9749,-74.9542,28.99,8.014,0,122,FALSE,2015,4
4/29/2015,Caribbean Sea,15.0049,-74.9516,27.45,8.055,1,124,FALSE,2015,4
5/6/2015,Maldives,3.1296,73.2355,28.89,8.042,1,112,FALSE,2015,5
5/12/2015,Great Barrier Reef,-18.3579,147.6782,27.99,8.020,0,122,FALSE,2015,5
5/19/2015,Hawaiian Islands,19.9170,-155.4885,28.76,8.058,1,116,FALSE,2015,5
5/25/2015,Great Barrier Reef,-18.3830,147.6979,28.59,8.171,2,116,FALSE,2015,5
6/1/2015,Great Barrier Reef,-18.2720,147.6975,26.75,8.142,2,148,FALSE,2015,6
6/8/2015,Red Sea,20.0396,38.4545,30.60,7.938,0,107,TRUE,2015,6
6/14/2015,Red Sea,20.1095,38.4505,27.65,8.072,0,120,FALSE,2015,6
6/21/2015,Hawaiian Islands,19.8193,-155.5794,26.91,8.106,1,122,FALSE,2015,6
6/27/2015,Galápagos,-0.8763,-91.0048,28.02,8.100,3,106,FALSE,2015,6
7/4/2015,Galápagos,-0.9424,-90.9002,26.09,8.107,1,148,FALSE,2015,7
7/10/2015,Maldives,3.2419,73.1589,26.52,8.116,3,144,FALSE,2015,7
7/17/2015,Red Sea,20.0125,38.5173,27.48,8.082,2,134,FALSE,2015,7
7/24/2015,Great Barrier Reef,-18.3228,147.7925,29.21,7.976,3,122,FALSE,2015,7
7/30/2015,Maldives,3.1541,73.2601,30.24,7.974,1,117,TRUE,2015,7
8/6/2015,Red Sea,20.0206,38.5411,31.35,7.981,2,80,TRUE,2015,8
8/12/2015,South China Sea,9.9555,114.9592,28.38,8.069,1,125,FALSE,2015,8
8/19/2015,Hawaiian Islands,19.9382,-155.5821,30.68,7.993,1,138,TRUE,2015,8
8/26/2015,Caribbean Sea,15.0313,-75.0429,26.89,8.106,2,132,FALSE,2015,8
9/1/2015,Caribbean Sea,15.0357,-74.9763,28.39,8.010,1,98,FALSE,2015,9
9/8/2015,Great Barrier Reef,-18.3094,147.7420,28.82,7.981,2,119,FALSE,2015,9
9/14/2015,South China Sea,10.0193,114.9558,28.73,8.048,2,100,FALSE,2015,9
9/21/2015,Galápagos,-0.9359,-90.9376,30.12,8.070,0,83,TRUE,2015,9
9/27/2015,South China Sea,9.9531,115.0258,29.27,8.060,2,170,FALSE,2015,9
10/4/2015,Red Sea,20.0285,38.5568,29.93,8.054,0,100,FALSE,2015,10
10/11/2015,Red Sea,20.0379,38.4614,28.14,8.033,3,124,FALSE,2015,10
10/17/2015,Maldives,3.3185,73.1273,29.53,7.949,0,102,FALSE,2015,10
10/24/2015,Galápagos,-0.8994,-90.9624,26.88,8.047,0,146,FALSE,2015,10
10/30/2015,Great Barrier Reef,-18.3236,147.7100,28.57,8.016,1,151,FALSE,2015,10
11/6/2015,Great Barrier Reef,-18.2554,147.5979,28.78,8.011,0,129,FALSE,2015,11
11/13/2015,Galápagos,-0.9934,-90.9713,29.26,8.078,2,94,FALSE,2015,11
11/19/2015,Hawaiian Islands,19.8801,-155.6065,27.52,8.158,0,135,FALSE,2015,11
11/26/2015,South China Sea,9.9370,115.0459,31.68,8.038,2,65,TRUE,2015,11
12/2/2015,Red Sea,19.9758,38.5633,27.44,8.093,2,142,FALSE,2015,12
12/9/2015,Hawaiian Islands,19.8505,-155.5858,23.64,8.096,3,164,FALSE,2015,12
12/16/2015,Galápagos,-1.0162,-90.8840,26.35,8.071,1,143,FALSE,2015,12
12/22/2015,Great Barrier Reef,-18.2150,147.6274,30.24,8.016,1,87,TRUE,2015,12
12/29/2015,South China Sea,10.0231,115.0100,27.60,8.071,0,123,FALSE,2015,12
1/4/2016,Galápagos,-0.9481,-90.9325,30.88,7.941,1,128,TRUE,2016,1
1/11/2016,Maldives,3.1052,73.2131,29.38,8.046,1,101,FALSE,2016,1
1/17/2016,Hawaiian Islands,19.8864,-155.6075,27.62,8.110,2,134,FALSE,2016,1
1/24/2016,Red Sea,19.9654,38.5450,28.96,8.081,3,124,FALSE,2016,1
1/31/2016,Galápagos,-0.9952,-90.9936,29.62,8.058,0,108,FALSE,2016,1
2/6/2016,Hawaiian Islands,19.9027,-155.5189,27.61,8.095,2,125,FALSE,2016,2
2/13/2016,South China Sea,9.9891,115.0549,29.74,8.066,2,127,FALSE,2016,2
2/19/2016,Great Barrier Reef,-18.2860,147.7333,28.03,8.076,0,122,FALSE,2016,2
2/26/2016,South China Sea,10.0048,115.0298,27.27,8.179,0,117,FALSE,2016,2
3/4/2016,South China Sea,9.9393,115.0579,29.69,8.057,0,117,FALSE,2016,3
3/10/2016,Red Sea,19.9994,38.4551,28.61,8.014,2,133,FALSE,2016,3
3/17/2016,Red Sea,19.9926,38.4587,28.02,8.080,1,116,FALSE,2016,3
3/23/2016,Great Barrier Reef,-18.3282,147.7114,28.87,8.017,0,109,FALSE,2016,3
3/30/2016,Maldives,3.2144,73.1483,26.39,8.056,2,137,FALSE,2016,3
4/5/2016,Galápagos,-0.9383,-90.8918,29.79,8.016,2,106,FALSE,2016,4
4/12/2016,Great Barrier Reef,-18.3372,147.6983,28.07,8.075,2,111,FALSE,2016,4
4/19/2016,Hawaiian Islands,19.9228,-155.5062,28.34,8.073,2,131,FALSE,2016,4
4/25/2016,Galápagos,-0.9739,-90.9544,28.52,8.055,2,108,FALSE,2016,4
5/2/2016,Maldives,3.2040,73.2456,30.68,8.054,3,130,TRUE,2016,5
5/8/2016,Great Barrier Reef,-18.3255,147.7428,28.78,8.154,0,105,FALSE,2016,5
5/15/2016,Galápagos,-0.9958,-90.9956,25.31,8.087,0,140,FALSE,2016,5
5/22/2016,Caribbean Sea,15.0075,-74.9829,31.31,8.041,1,83,TRUE,2016,5
5/28/2016,South China Sea,9.9551,115.0246,26.52,8.181,0,157,FALSE,2016,5
6/4/2016,Caribbean Sea,14.9765,-75.0857,30.53,8.004,2,118,TRUE,2016,6
6/10/2016,Galápagos,-1.0335,-90.9956,28.51,8.052,1,113,FALSE,2016,6
6/17/2016,Caribbean Sea,15.0311,-75.0534,28.29,8.060,0,129,FALSE,2016,6
6/23/2016,Great Barrier Reef,-18.2515,147.6430,26.20,8.160,1,147,FALSE,2016,6
6/30/2016,Maldives,3.1654,73.2983,28.67,8.105,0,119,FALSE,2016,6
7/7/2016,Great Barrier Reef,-18.1841,147.7870,28.13,8.106,0,133,FALSE,2016,7
7/13/2016,Maldives,3.2712,73.1725,29.53,8.082,3,83,FALSE,2016,7
7/20/2016,South China Sea,9.9408,114.8980,28.10,8.094,0,146,FALSE,2016,7
7/26/2016,Great Barrier Reef,-18.2834,147.7806,26.43,8.006,0,139,FALSE,2016,7
8/2/2016,Red Sea,20.0192,38.4984,25.40,8.108,1,131,FALSE,2016,8
8/9/2016,Galápagos,-0.9203,-90.9473,27.09,8.053,3,118,FALSE,2016,8
8/15/2016,Great Barrier Reef,-18.2902,147.7470,27.02,8.105,1,126,FALSE,2016,8
8/22/2016,Galápagos,-0.9934,-90.9710,26.95,8.053,1,117,FALSE,2016,8
8/28/2016,Maldives,3.3010,73.2225,27.45,8.082,2,128,FALSE,2016,8
9/4/2016,Caribbean Sea,14.9890,-74.9693,29.64,8.001,0,100,FALSE,2016,9
9/11/2016,Caribbean Sea,14.9862,-75.1151,26.23,8.164,1,167,FALSE,2016,9
9/17/2016,Red Sea,19.9875,38.5288,28.97,8.195,0,132,FALSE,2016,9
9/24/2016,Caribbean Sea,14.9936,-75.0478,26.09,8.108,1,132,FALSE,2016,9
9/30/2016,Hawaiian Islands,19.8257,-155.6151,26.88,8.167,2,149,FALSE,2016,9
10/7/2016,South China Sea,9.9996,115.0740,28.62,8.005,0,141,FALSE,2016,10
10/13/2016,Great Barrier Reef,-18.2602,147.6473,28.21,8.012,2,102,FALSE,2016,10
10/20/2016,Great Barrier Reef,-18.2408,147.7947,26.40,8.120,3,131,FALSE,2016,10
10/27/2016,Great Barrier Reef,-18.3115,147.6696,27.20,8.078,1,120,FALSE,2016,10
